date,name,value
2005-06-01,Diseases of the digestive system,111
2005-06-01,Diseases of the skin and subcutaneous tissue,7
2005-06-01,Diseases of the musculoskeletal system and connective tissue,12
2005-06-01,Diseases of the genitourinary system,71
2005-06-01,Certain conditions originating in the perinatal period,40
2005-06-01,"Congenital malformations, deformations and chromosomal abnormalities",22
2005-06-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",24
2005-06-01,External causes of morbidity and mortality,274
2005-07-01,Certain infectious and parasitic diseases,86
2005-07-01,Neoplasms,965
2005-07-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10
2005-07-01,"Endocrine, nutritional and metabolic diseases",153
2005-07-01,Mental and behavioural disorders,61
2005-07-01,Diseases of the nervous system,110
2005-07-01,Diseases of the circulatory system,1176
2005-07-01,Diseases of the respiratory system,241
2005-07-01,Diseases of the digestive system,99
2005-07-01,Diseases of the skin and subcutaneous tissue,4
2005-07-01,Diseases of the musculoskeletal system and connective tissue,15
2005-07-01,Diseases of the genitourinary system,95
2005-07-01,"Pregnancy, childbirth and the puerperium",3
2005-07-01,Certain conditions originating in the perinatal period,39
2005-07-01,"Congenital malformations, deformations and chromosomal abnormalities",21
2005-07-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",27
2005-07-01,External causes of morbidity and mortality,320
2005-08-01,Certain infectious and parasitic diseases,78
2005-08-01,Neoplasms,1004
2005-08-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,15
2005-08-01,"Endocrine, nutritional and metabolic diseases",145
2005-08-01,Mental and behavioural disorders,77
2005-08-01,Diseases of the nervous system,109
2005-08-01,Diseases of the circulatory system,1159
2005-08-01,Diseases of the respiratory system,207
2005-08-01,Diseases of the digestive system,98
2005-08-01,Diseases of the skin and subcutaneous tissue,4
2005-08-01,Diseases of the musculoskeletal system and connective tissue,19
2005-08-01,Diseases of the genitourinary system,79
2005-08-01,"Pregnancy, childbirth and the puerperium",4
2005-08-01,Certain conditions originating in the perinatal period,41
2005-08-01,"Congenital malformations, deformations and chromosomal abnormalities",27
2005-08-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",34
2005-08-01,External causes of morbidity and mortality,304
2005-09-01,Certain infectious and parasitic diseases,93
2005-09-01,Neoplasms,963
2005-09-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10
2005-09-01,"Endocrine, nutritional and metabolic diseases",121
2005-09-01,Mental and behavioural disorders,61
2005-09-01,Diseases of the nervous system,80
2005-09-01,Diseases of the circulatory system,1145
2005-09-01,Diseases of the respiratory system,215
2005-09-01,Diseases of the digestive system,114
2005-09-01,Diseases of the skin and subcutaneous tissue,1
2005-09-01,Diseases of the musculoskeletal system and connective tissue,16
2005-09-01,Diseases of the genitourinary system,65
2005-09-01,"Pregnancy, childbirth and the puerperium",3
2005-09-01,Certain conditions originating in the perinatal period,30
2005-09-01,"Congenital malformations, deformations and chromosomal abnormalities",39
2005-09-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",27
2005-09-01,External causes of morbidity and mortality,262
2005-10-01,Certain infectious and parasitic diseases,104
2005-10-01,Neoplasms,1045
2005-10-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,13
2005-10-01,"Endocrine, nutritional and metabolic diseases",147
2005-10-01,Mental and behavioural disorders,57
2005-10-01,Diseases of the nervous system,118
2005-10-01,Diseases of the eye and adnexa,1
2005-10-01,Diseases of the circulatory system,1208
2005-10-01,Diseases of the respiratory system,249
2005-10-01,Diseases of the digestive system,110
2005-10-01,Diseases of the skin and subcutaneous tissue,7
2005-10-01,Diseases of the musculoskeletal system and connective tissue,14
2005-10-01,Diseases of the genitourinary system,94
2005-10-01,"Pregnancy, childbirth and the puerperium",2
2005-10-01,Certain conditions originating in the perinatal period,32
2005-10-01,"Congenital malformations, deformations and chromosomal abnormalities",24
2005-10-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",33
2005-10-01,External causes of morbidity and mortality,307
2005-11-01,Certain infectious and parasitic diseases,91
2005-11-01,Neoplasms,987
2005-11-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,13
2005-11-01,"Endocrine, nutritional and metabolic diseases",152
2005-11-01,Mental and behavioural disorders,74
2005-11-01,Diseases of the nervous system,112
2005-11-01,Diseases of the ear and mastoid process,1
2005-11-01,Diseases of the circulatory system,1255
2005-11-01,Diseases of the respiratory system,245
2005-11-01,Diseases of the digestive system,120
2005-11-01,Diseases of the skin and subcutaneous tissue,6
2005-11-01,Diseases of the musculoskeletal system and connective tissue,17
2005-11-01,Diseases of the genitourinary system,75
2005-11-01,"Pregnancy, childbirth and the puerperium",2
2005-11-01,Certain conditions originating in the perinatal period,44
2005-11-01,"Congenital malformations, deformations and chromosomal abnormalities",28
2005-11-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",32
2005-11-01,External causes of morbidity and mortality,267
2005-12-01,Certain infectious and parasitic diseases,125
2005-12-01,Neoplasms,1040
2005-12-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,13
2005-12-01,"Endocrine, nutritional and metabolic diseases",197
2005-12-01,Mental and behavioural disorders,82
2005-12-01,Diseases of the nervous system,133
2005-12-01,Diseases of the circulatory system,1448
2005-12-01,Diseases of the respiratory system,351
2005-12-01,Diseases of the digestive system,140
2005-12-01,Diseases of the skin and subcutaneous tissue,11
2005-12-01,Diseases of the musculoskeletal system and connective tissue,28
2005-12-01,Diseases of the genitourinary system,106
2005-12-01,"Pregnancy, childbirth and the puerperium",5
2005-12-01,Certain conditions originating in the perinatal period,35
2005-12-01,"Congenital malformations, deformations and chromosomal abnormalities",29
2005-12-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",50
2005-12-01,External causes of morbidity and mortality,323
2006-01-01,Certain infectious and parasitic diseases,110
2006-01-01,Neoplasms,961
2006-01-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,12
2006-01-01,"Endocrine, nutritional and metabolic diseases",165
2006-01-01,Mental and behavioural disorders,91
2006-01-01,Diseases of the nervous system,127
2006-01-01,Diseases of the circulatory system,1477
2006-01-01,Diseases of the respiratory system,364
2006-01-01,Diseases of the digestive system,135
2006-01-01,Diseases of the skin and subcutaneous tissue,7
2006-01-01,Diseases of the musculoskeletal system and connective tissue,23
2006-01-01,Diseases of the genitourinary system,108
2006-01-01,"Pregnancy, childbirth and the puerperium",3
2006-01-01,Certain conditions originating in the perinatal period,40
2006-01-01,"Congenital malformations, deformations and chromosomal abnormalities",20
2006-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",32
2006-01-01,External causes of morbidity and mortality,276
2006-02-01,Certain infectious and parasitic diseases,88
2006-02-01,Neoplasms,969
2006-02-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,12
2006-02-01,"Endocrine, nutritional and metabolic diseases",171
2006-02-01,Mental and behavioural disorders,103
2006-02-01,Diseases of the nervous system,141
2006-02-01,Diseases of the circulatory system,1295
2006-02-01,Diseases of the respiratory system,316
2006-02-01,Diseases of the digestive system,114
2006-02-01,Diseases of the skin and subcutaneous tissue,4
2006-02-01,Diseases of the musculoskeletal system and connective tissue,19
2006-02-01,Diseases of the genitourinary system,76
2006-02-01,"Pregnancy, childbirth and the puerperium",2
2006-02-01,Certain conditions originating in the perinatal period,40
2006-02-01,"Congenital malformations, deformations and chromosomal abnormalities",22
2006-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",35
2006-02-01,External causes of morbidity and mortality,255
2006-03-01,Certain infectious and parasitic diseases,138
2006-03-01,Neoplasms,959
2006-03-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,25
2006-03-01,"Endocrine, nutritional and metabolic diseases",200
2006-03-01,Mental and behavioural disorders,101
2006-03-01,Diseases of the nervous system,133
2006-03-01,Diseases of the circulatory system,1410
2006-03-01,Diseases of the respiratory system,345
2006-03-01,Diseases of the digestive system,123
2006-03-01,Diseases of the skin and subcutaneous tissue,8
2006-03-01,Diseases of the musculoskeletal system and connective tissue,20
2006-03-01,Diseases of the genitourinary system,96
2006-03-01,"Pregnancy, childbirth and the puerperium",8
2006-03-01,Certain conditions originating in the perinatal period,29
2006-03-01,"Congenital malformations, deformations and chromosomal abnormalities",32
2006-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",33
2006-03-01,External causes of morbidity and mortality,333
2006-04-01,Certain infectious and parasitic diseases,107
2006-04-01,Neoplasms,978
2006-04-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,17
2006-04-01,"Endocrine, nutritional and metabolic diseases",174
2006-04-01,Mental and behavioural disorders,98
2006-04-01,Diseases of the nervous system,130
2006-04-01,Diseases of the ear and mastoid process,1
2006-04-01,Diseases of the circulatory system,1355
2006-04-01,Diseases of the respiratory system,319
2006-04-01,Diseases of the digestive system,105
2006-04-01,Diseases of the skin and subcutaneous tissue,6
2006-04-01,Diseases of the musculoskeletal system and connective tissue,22
2006-04-01,Diseases of the genitourinary system,104
2006-04-01,"Pregnancy, childbirth and the puerperium",7
2006-04-01,Certain conditions originating in the perinatal period,41
2006-04-01,"Congenital malformations, deformations and chromosomal abnormalities",24
2006-04-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",29
2006-04-01,External causes of morbidity and mortality,275
2006-05-01,Certain infectious and parasitic diseases,100
2006-05-01,Neoplasms,984
2006-05-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,7
2006-05-01,"Endocrine, nutritional and metabolic diseases",161
2006-05-01,Mental and behavioural disorders,92
2006-05-01,Diseases of the nervous system,126
2006-05-01,Diseases of the circulatory system,1322
2006-05-01,Diseases of the respiratory system,277
2006-05-01,Diseases of the digestive system,110
2006-05-01,Diseases of the skin and subcutaneous tissue,4
2006-05-01,Diseases of the musculoskeletal system and connective tissue,25
2006-05-01,Diseases of the genitourinary system,91
2006-05-01,"Pregnancy, childbirth and the puerperium",3
2006-05-01,Certain conditions originating in the perinatal period,40
2006-05-01,"Congenital malformations, deformations and chromosomal abnormalities",23
2006-05-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",38
2006-05-01,External causes of morbidity and mortality,270
2006-06-01,Certain infectious and parasitic diseases,102
2006-06-01,Neoplasms,968
2006-06-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,11
2006-06-01,"Endocrine, nutritional and metabolic diseases",156
2006-06-01,Mental and behavioural disorders,109
2006-06-01,Diseases of the nervous system,114
2006-06-01,Diseases of the circulatory system,1147
2006-06-01,Diseases of the respiratory system,251
2006-06-01,Diseases of the digestive system,142
2006-06-01,Diseases of the skin and subcutaneous tissue,6
2006-06-01,Diseases of the musculoskeletal system and connective tissue,26
2006-06-01,Diseases of the genitourinary system,86
2006-06-01,"Pregnancy, childbirth and the puerperium",1
2006-06-01,Certain conditions originating in the perinatal period,42
2006-06-01,"Congenital malformations, deformations and chromosomal abnormalities",21
2006-06-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",36
2006-06-01,External causes of morbidity and mortality,290
2006-07-01,Certain infectious and parasitic diseases,94
2006-07-01,Neoplasms,1036
2006-07-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,14
2006-07-01,"Endocrine, nutritional and metabolic diseases",153
2006-07-01,Mental and behavioural disorders,108
2006-07-01,Diseases of the nervous system,117
2006-07-01,Diseases of the circulatory system,1233
2006-07-01,Diseases of the respiratory system,256
2006-07-01,Diseases of the digestive system,120
2006-07-01,Diseases of the skin and subcutaneous tissue,5
2006-07-01,Diseases of the musculoskeletal system and connective tissue,14
2006-07-01,Diseases of the genitourinary system,96
2006-07-01,"Pregnancy, childbirth and the puerperium",2
2006-07-01,Certain conditions originating in the perinatal period,27
2006-07-01,"Congenital malformations, deformations and chromosomal abnormalities",31
2006-07-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",43
2006-07-01,External causes of morbidity and mortality,339
2006-08-01,Certain infectious and parasitic diseases,108
2006-08-01,Neoplasms,1068
2006-08-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9
2006-08-01,"Endocrine, nutritional and metabolic diseases",179
2006-08-01,Mental and behavioural disorders,87
2006-08-01,Diseases of the nervous system,130
2006-08-01,Diseases of the circulatory system,1202
2006-08-01,Diseases of the respiratory system,245
2006-08-01,Diseases of the digestive system,106
2006-08-01,Diseases of the skin and subcutaneous tissue,2
2006-08-01,Diseases of the musculoskeletal system and connective tissue,25
2006-08-01,Diseases of the genitourinary system,86
2006-08-01,"Pregnancy, childbirth and the puerperium",5
2006-08-01,Certain conditions originating in the perinatal period,42
2006-08-01,"Congenital malformations, deformations and chromosomal abnormalities",27
2006-08-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",35
2006-08-01,External causes of morbidity and mortality,342
2006-09-01,Certain infectious and parasitic diseases,101
2006-09-01,Neoplasms,1025
2006-09-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,9
2006-09-01,"Endocrine, nutritional and metabolic diseases",150
2006-09-01,Mental and behavioural disorders,98
2006-09-01,Diseases of the nervous system,128
2006-09-01,Diseases of the circulatory system,1118
2006-09-01,Diseases of the respiratory system,254
2006-09-01,Diseases of the digestive system,110
2006-09-01,Diseases of the skin and subcutaneous tissue,3
2006-09-01,Diseases of the musculoskeletal system and connective tissue,15
2006-09-01,Diseases of the genitourinary system,93
2006-09-01,"Pregnancy, childbirth and the puerperium",3
2006-09-01,Certain conditions originating in the perinatal period,31
2006-09-01,"Congenital malformations, deformations and chromosomal abnormalities",25
2006-09-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",25
2006-09-01,External causes of morbidity and mortality,276
2006-10-01,Certain infectious and parasitic diseases,81
2006-10-01,Neoplasms,1047
2006-10-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,17
2006-10-01,"Endocrine, nutritional and metabolic diseases",178
2006-10-01,Mental and behavioural disorders,94
2006-10-01,Diseases of the nervous system,100
2006-10-01,Diseases of the circulatory system,1257
2006-10-01,Diseases of the respiratory system,247
2006-10-01,Diseases of the digestive system,120
2006-10-01,Diseases of the skin and subcutaneous tissue,10
2006-10-01,Diseases of the musculoskeletal system and connective tissue,21
2006-10-01,Diseases of the genitourinary system,84
2006-10-01,"Pregnancy, childbirth and the puerperium",7
2006-10-01,Certain conditions originating in the perinatal period,37
2006-10-01,"Congenital malformations, deformations and chromosomal abnormalities",28
2006-10-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",42
2006-10-01,External causes of morbidity and mortality,280
2006-11-01,Certain infectious and parasitic diseases,72
2006-11-01,Neoplasms,1042
2006-11-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,14
2006-11-01,"Endocrine, nutritional and metabolic diseases",146
2006-11-01,Mental and behavioural disorders,88
2006-11-01,Diseases of the nervous system,103
2006-11-01,Diseases of the ear and mastoid process,1
2006-11-01,Diseases of the circulatory system,1267
2006-11-01,Diseases of the respiratory system,290
2006-11-01,Diseases of the digestive system,128
2006-11-01,Diseases of the skin and subcutaneous tissue,4
2006-11-01,Diseases of the musculoskeletal system and connective tissue,10
2006-11-01,Diseases of the genitourinary system,103
2006-11-01,"Pregnancy, childbirth and the puerperium",2
2006-11-01,Certain conditions originating in the perinatal period,34
2006-11-01,"Congenital malformations, deformations and chromosomal abnormalities",30
2006-11-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",43
2006-11-01,External causes of morbidity and mortality,291
2006-12-01,Certain infectious and parasitic diseases,125
2006-12-01,Neoplasms,1019
2006-12-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,18
2006-12-01,"Endocrine, nutritional and metabolic diseases",183
2006-12-01,Mental and behavioural disorders,89
2006-12-01,Diseases of the nervous system,134
2006-12-01,Diseases of the circulatory system,1406
2006-12-01,Diseases of the respiratory system,301
2006-12-01,Diseases of the digestive system,127
2006-12-01,Diseases of the skin and subcutaneous tissue,4
2006-12-01,Diseases of the musculoskeletal system and connective tissue,18
2006-12-01,Diseases of the genitourinary system,110
2006-12-01,Certain conditions originating in the perinatal period,51
2006-12-01,"Congenital malformations, deformations and chromosomal abnormalities",35
2006-12-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",59
2006-12-01,External causes of morbidity and mortality,281
2007-01-01,Certain infectious and parasitic diseases,112
2007-01-01,Neoplasms,1111
2007-01-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,17
2007-01-01,"Endocrine, nutritional and metabolic diseases",213
2007-01-01,Mental and behavioural disorders,92
2007-01-01,Diseases of the nervous system,159
2007-01-01,Diseases of the circulatory system,1427
2007-01-01,Diseases of the respiratory system,363
2007-01-01,Diseases of the digestive system,124
2007-01-01,Diseases of the skin and subcutaneous tissue,4
2007-01-01,Diseases of the musculoskeletal system and connective tissue,28
2007-01-01,Diseases of the genitourinary system,108
2007-01-01,"Pregnancy, childbirth and the puerperium",3
2007-01-01,Certain conditions originating in the perinatal period,50
2007-01-01,"Congenital malformations, deformations and chromosomal abnormalities",31
2007-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",48
2007-01-01,External causes of morbidity and mortality,314
2007-02-01,Certain infectious and parasitic diseases,96
2007-02-01,Neoplasms,974
2007-02-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,21
2007-02-01,"Endocrine, nutritional and metabolic diseases",188
2007-02-01,Mental and behavioural disorders,91
2007-02-01,Diseases of the nervous system,120
2007-02-01,Diseases of the circulatory system,1325
2007-02-01,Diseases of the respiratory system,314
2007-02-01,Diseases of the digestive system,111
2007-02-01,Diseases of the skin and subcutaneous tissue,3
2007-02-01,Diseases of the musculoskeletal system and connective tissue,14
2007-02-01,Diseases of the genitourinary system,95
2007-02-01,"Pregnancy, childbirth and the puerperium",4
2007-02-01,Certain conditions originating in the perinatal period,28
2007-02-01,"Congenital malformations, deformations and chromosomal abnormalities",23
2007-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",33
2007-02-01,External causes of morbidity and mortality,234
2007-03-01,Certain infectious and parasitic diseases,115
2007-03-01,Neoplasms,1056
2007-03-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,22
2007-03-01,"Endocrine, nutritional and metabolic diseases",218
2007-03-01,Mental and behavioural disorders,83
2007-03-01,Diseases of the nervous system,130
2007-03-01,Diseases of the eye and adnexa,1
2007-03-01,Diseases of the circulatory system,1423
2007-03-01,Diseases of the respiratory system,361
2007-03-01,Diseases of the digestive system,119
2007-03-01,Diseases of the skin and subcutaneous tissue,11
2007-03-01,Diseases of the musculoskeletal system and connective tissue,14
2007-03-01,Diseases of the genitourinary system,102
2007-03-01,"Pregnancy, childbirth and the puerperium",3
2007-03-01,Certain conditions originating in the perinatal period,33
2007-03-01,"Congenital malformations, deformations and chromosomal abnormalities",36
2007-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",44
2007-03-01,External causes of morbidity and mortality,314
2007-04-01,Certain infectious and parasitic diseases,95
2007-04-01,Neoplasms,1000
2007-04-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,17
2007-04-01,"Endocrine, nutritional and metabolic diseases",178
2007-04-01,Mental and behavioural disorders,91
2007-04-01,Diseases of the nervous system,142
2007-04-01,Diseases of the circulatory system,1345
2007-04-01,Diseases of the respiratory system,313
2007-04-01,Diseases of the digestive system,128
2007-04-01,Diseases of the skin and subcutaneous tissue,7
2007-04-01,Diseases of the musculoskeletal system and connective tissue,26
2007-04-01,Diseases of the genitourinary system,96
2007-04-01,"Pregnancy, childbirth and the puerperium",4
2007-04-01,Certain conditions originating in the perinatal period,47
2007-04-01,"Congenital malformations, deformations and chromosomal abnormalities",27
2007-04-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",42
2007-04-01,External causes of morbidity and mortality,280
2007-05-01,Certain infectious and parasitic diseases,103
2007-05-01,Neoplasms,1009
2007-05-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,19
2007-05-01,"Endocrine, nutritional and metabolic diseases",191
2007-05-01,Mental and behavioural disorders,90
2007-05-01,Diseases of the nervous system,145
2007-05-01,Diseases of the ear and mastoid process,1
2007-05-01,Diseases of the circulatory system,1218
2007-05-01,Diseases of the respiratory system,337
2007-05-01,Diseases of the digestive system,108
2007-05-01,Diseases of the skin and subcutaneous tissue,4
2007-05-01,Diseases of the musculoskeletal system and connective tissue,26
2007-05-01,Diseases of the genitourinary system,108
2007-05-01,"Pregnancy, childbirth and the puerperium",1
2007-05-01,Certain conditions originating in the perinatal period,54
2007-05-01,"Congenital malformations, deformations and chromosomal abnormalities",32
2007-05-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",32
2007-05-01,External causes of morbidity and mortality,360
2007-06-01,Certain infectious and parasitic diseases,104
2007-06-01,Neoplasms,1011
2007-06-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,16
2007-06-01,"Endocrine, nutritional and metabolic diseases",175
2007-06-01,Mental and behavioural disorders,82
2007-06-01,Diseases of the nervous system,121
2007-06-01,Diseases of the circulatory system,1157
2007-06-01,Diseases of the respiratory system,249
2007-06-01,Diseases of the digestive system,113
2007-06-01,Diseases of the skin and subcutaneous tissue,2
2007-06-01,Diseases of the musculoskeletal system and connective tissue,21
2007-06-01,Diseases of the genitourinary system,87
2007-06-01,"Pregnancy, childbirth and the puerperium",5
2007-06-01,Certain conditions originating in the perinatal period,40
2007-06-01,"Congenital malformations, deformations and chromosomal abnormalities",30
2007-06-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",33
2007-06-01,External causes of morbidity and mortality,303
2007-07-01,Certain infectious and parasitic diseases,90
2007-07-01,Neoplasms,1070
2007-07-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,20
2007-07-01,"Endocrine, nutritional and metabolic diseases",160
2007-07-01,Mental and behavioural disorders,76
2007-07-01,Diseases of the nervous system,132
2007-07-01,Diseases of the circulatory system,1158
2007-07-01,Diseases of the respiratory system,245
2007-07-01,Diseases of the digestive system,122
2007-07-01,Diseases of the skin and subcutaneous tissue,10
2007-07-01,Diseases of the musculoskeletal system and connective tissue,19
2007-07-01,Diseases of the genitourinary system,94
2007-07-01,"Pregnancy, childbirth and the puerperium",4
2007-07-01,Certain conditions originating in the perinatal period,49
2007-07-01,"Congenital malformations, deformations and chromosomal abnormalities",20
2007-07-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",44
2007-07-01,External causes of morbidity and mortality,347
2007-08-01,Certain infectious and parasitic diseases,110
2007-08-01,Neoplasms,1093
2007-08-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,12
2007-08-01,"Endocrine, nutritional and metabolic diseases",148
2007-08-01,Mental and behavioural disorders,93
2007-08-01,Diseases of the nervous system,124
2007-08-01,Diseases of the circulatory system,1201
2007-08-01,Diseases of the respiratory system,229
2007-08-01,Diseases of the digestive system,119
2007-08-01,Diseases of the skin and subcutaneous tissue,9
2007-08-01,Diseases of the musculoskeletal system and connective tissue,22
2007-08-01,Diseases of the genitourinary system,110
2007-08-01,"Pregnancy, childbirth and the puerperium",2
2007-08-01,Certain conditions originating in the perinatal period,47
2007-08-01,"Congenital malformations, deformations and chromosomal abnormalities",28
2007-08-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",35
2007-08-01,External causes of morbidity and mortality,303
2007-09-01,Certain infectious and parasitic diseases,84
2007-09-01,Neoplasms,1098
2007-09-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,16
2007-09-01,"Endocrine, nutritional and metabolic diseases",164
2007-09-01,Mental and behavioural disorders,76
2007-09-01,Diseases of the nervous system,129
2007-09-01,Diseases of the circulatory system,1155
2007-09-01,Diseases of the respiratory system,241
2007-09-01,Diseases of the digestive system,97
2007-09-01,Diseases of the skin and subcutaneous tissue,4
2007-09-01,Diseases of the musculoskeletal system and connective tissue,18
2007-09-01,Diseases of the genitourinary system,101
2007-09-01,"Pregnancy, childbirth and the puerperium",2
2007-09-01,Certain conditions originating in the perinatal period,35
2007-09-01,"Congenital malformations, deformations and chromosomal abnormalities",19
2007-09-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",33
2007-09-01,External causes of morbidity and mortality,280
2007-10-01,Certain infectious and parasitic diseases,91
2007-10-01,Neoplasms,1042
2007-10-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,14
2007-10-01,"Endocrine, nutritional and metabolic diseases",182
2007-10-01,Mental and behavioural disorders,92
2007-10-01,Diseases of the nervous system,121
2007-10-01,Diseases of the circulatory system,1265
2007-10-01,Diseases of the respiratory system,256
2007-10-01,Diseases of the digestive system,99
2007-10-01,Diseases of the skin and subcutaneous tissue,3
2007-10-01,Diseases of the musculoskeletal system and connective tissue,17
2007-10-01,Diseases of the genitourinary system,95
2007-10-01,"Pregnancy, childbirth and the puerperium",4
2007-10-01,Certain conditions originating in the perinatal period,32
2007-10-01,"Congenital malformations, deformations and chromosomal abnormalities",33
2007-10-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",37
2007-10-01,External causes of morbidity and mortality,268
2007-11-01,Certain infectious and parasitic diseases,103
2007-11-01,Neoplasms,1063
2007-11-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,15
2007-11-01,"Endocrine, nutritional and metabolic diseases",203
2007-11-01,Mental and behavioural disorders,100
2007-11-01,Diseases of the nervous system,120
2007-11-01,Diseases of the circulatory system,1250
2007-11-01,Diseases of the respiratory system,294
2007-11-01,Diseases of the digestive system,116
2007-11-01,Diseases of the skin and subcutaneous tissue,9
2007-11-01,Diseases of the musculoskeletal system and connective tissue,17
2007-11-01,Diseases of the genitourinary system,100
2007-11-01,"Pregnancy, childbirth and the puerperium",2
2007-11-01,Certain conditions originating in the perinatal period,49
2007-11-01,"Congenital malformations, deformations and chromosomal abnormalities",28
2007-11-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",38
2007-11-01,External causes of morbidity and mortality,274
2007-12-01,Certain infectious and parasitic diseases,105
2007-12-01,Neoplasms,1107
2007-12-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,15
2007-12-01,"Endocrine, nutritional and metabolic diseases",203
2007-12-01,Mental and behavioural disorders,116
2007-12-01,Diseases of the nervous system,151
2007-12-01,Diseases of the ear and mastoid process,1
2007-12-01,Diseases of the circulatory system,1463
2007-12-01,Diseases of the respiratory system,270
2007-12-01,Diseases of the digestive system,116
2007-12-01,Diseases of the skin and subcutaneous tissue,9
2007-12-01,Diseases of the musculoskeletal system and connective tissue,18
2007-12-01,Diseases of the genitourinary system,109
2007-12-01,"Pregnancy, childbirth and the puerperium",1
2007-12-01,Certain conditions originating in the perinatal period,35
2007-12-01,"Congenital malformations, deformations and chromosomal abnormalities",28
2007-12-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",43
2007-12-01,External causes of morbidity and mortality,302
2008-01-01,Certain infectious and parasitic diseases,110
2008-01-01,Neoplasms,1149
2008-01-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,18
2008-01-01,"Endocrine, nutritional and metabolic diseases",221
2008-01-01,Mental and behavioural disorders,140
2008-01-01,Diseases of the nervous system,186
2008-01-01,Diseases of the circulatory system,1587
2008-01-01,Diseases of the respiratory system,386
2008-01-01,Diseases of the digestive system,153
2008-01-01,Diseases of the skin and subcutaneous tissue,6
